trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
399,False,"{'a': 0.1, 'e': 0.041089609486063085}",25,15,-22.25016292048177,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
400,False,"{'a': 0.1, 'e': 0.04076220397836622}",25,19,10.386744501422498,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
401,False,"{'a': 0.1, 'e': 0.040437407265637486}",25,13,21.100023446219037,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
402,False,"{'a': 0.1, 'e': 0.04011519856077642}",20,6,29.917374912414715,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
403,False,"{'a': 0.1, 'e': 0.03979555724231593}",25,5,36.52969614492012,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
404,False,"{'a': 0.1, 'e': 0.03947846285310253}",25,0,28.538774188472416,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
405,False,"{'a': 0.1, 'e': 0.03916389509898707}",25,15,21.50892675724717,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
406,False,"{'a': 0.1, 'e': 0.03885183384752592}",20,8,22.10819986751499,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
407,False,"{'a': 0.1, 'e': 0.038542259126692464}",25,12,22.78987295894309,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
408,False,"{'a': 0.1, 'e': 0.0382351511235989}",30,12,31.415195464776072,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
409,False,"{'a': 0.1, 'e': 0.03793049018322821}",20,5,25.151350344941733,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
410,False,"{'a': 0.1, 'e': 0.03762825680717621}",25,16,15.183433674415756,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
411,False,"{'a': 0.1, 'e': 0.037328431652403675}",20,11,18.70087633807073,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
412,False,"{'a': 0.1, 'e': 0.03703099552999836}",30,18,21.818859914946337,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
413,False,"{'a': 0.1, 'e': 0.036735929403946904}",30,21,18.780064965050236,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
414,False,"{'a': 0.1, 'e': 0.03644321438991653}",30,19,21.736494495067507,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
